DATE	CANDH	CFNAI	CFNAIDIFF	CFNAIMA3	EUANDH	KCFSI	PANDI	SOANDI	UMCSENT	USSLIND
1967-03-01	-0.04	-0.49			-0.06		-0.37	-0.02		
1967-04-01	-0.01	-0.15			-0.23		0.21	-0.11		
1967-05-01	-0.06	-0.65	-0.22	-0.43	0.11		-0.60	-0.10		
1967-06-01	0.07	-0.02	-0.20	-0.27	0.10		-0.15	-0.03		
1967-07-01	-0.07	-0.34	-0.25	-0.33	0.19		-0.28	-0.18		
1967-08-01	-0.01	1.49	0.13	0.38	0.41		0.81	0.28		
1967-09-01	0.12	-0.15	0.11	0.33	-0.06		-0.10	-0.12		
1967-10-01	-0.11	0.04	0.17	0.46	-0.03		0.27	-0.08		
1967-11-01	0.11	2.02	0.20	0.64	0.73		0.74	0.44		
1967-12-01	0.14	1.35	0.50	1.14	0.31		0.49	0.41		
1968-01-01	-0.03	-0.77	0.42	0.87	-0.49		-0.17	-0.08		
1968-02-01	0.04	0.80	0.31	0.46	0.70		0.16	-0.10		
1968-03-01	0.18	0.45	0.19	0.16	0.10		0.08	0.08		
1968-04-01	-0.02	0.42	0.33	0.55	0.41		0.04	-0.02		
1968-05-01	0.05	0.92	0.35	0.59	0.26		0.50	0.11		
1968-06-01	0.10	0.40	0.33	0.58	0.19		0.04	0.07		
1968-07-01	0.10	0.30	0.30	0.54	0.23		-0.19	0.15		
1968-08-01	0.06	0.22	0.25	0.31	0.29		0.17	-0.29		
1968-09-01	-0.05	0.59	0.30	0.37	0.26		0.06	0.33		
1968-10-01	0.10	0.86	0.47	0.56	0.38		0.15	0.24		
1968-11-01	0.12	1.20	0.55	0.88	0.40		0.59	0.08		
1968-12-01	-0.03	0.19	0.51	0.75	0.34		0.00	-0.12		
1969-01-01	0.13	0.50	0.47	0.63	0.16		0.26	-0.05		
1969-02-01	0.10	0.86	0.44	0.52	0.45		0.26	0.05		
1969-03-01	-0.04	0.78	0.57	0.71	0.34		0.36	0.11		
1969-04-01	0.06	0.10	0.48	0.58	0.21		-0.33	0.15		
1969-05-01	0.10	0.06	0.32	0.31	0.25		-0.24	-0.06		
1969-06-01	-0.03	0.71	0.25	0.29	0.38		0.35	0.00		
1969-07-01	-0.03	0.29	0.23	0.35	0.07		0.25	0.00		
1969-08-01	0.08	0.68	0.30	0.56	0.38		-0.02	0.24		
1969-09-01	0.05	-0.30	0.08	0.23	-0.31		-0.12	0.08		
1969-10-01	0.05	0.34	0.05	0.24	0.18		-0.08	0.19		
1969-11-01	-0.06	-1.08	-0.18	-0.35	-0.12		-0.62	-0.29		
1969-12-01	-0.02	-0.28	-0.18	-0.34	0.10		-0.26	-0.10		
1970-01-01	-0.04	-1.96	-0.45	-1.11	-0.48		-1.10	-0.34		
1970-02-01	0.02	-0.27	-0.38	-0.84	-0.11		-0.12	-0.06		
1970-03-01	-0.10	-0.73	-0.49	-0.99	-0.12		-0.21	-0.30		
1970-04-01	0.00	-1.15	-0.45	-0.72	-0.68		-0.26	-0.21		
1970-05-01	0.06	-0.76	-0.53	-0.88	-0.68		-0.23	0.10		
1970-06-01	0.04	-0.57	-0.50	-0.83	-0.42		-0.26	0.07		
1970-07-01	0.03	-0.01	-0.36	-0.45	-0.10		0.07	-0.02		
1970-08-01	0.02	-0.95	-0.38	-0.51	-0.50		-0.43	-0.04		
1970-09-01	0.06	-0.99	-0.38	-0.65	-0.37		-0.52	-0.16		
1970-10-01	-0.01	-2.62	-0.50	-1.52	-0.97		-1.20	-0.44		
1970-11-01	-0.09	-1.51	-0.53	-1.71	-0.57		-0.54	-0.31		
1970-12-01	0.22	2.17	-0.27	-0.65	0.41		1.06	0.48		
1971-01-01	0.24	0.68	0.06	0.45	0.07		0.26	0.11		
1971-02-01	0.10	-0.11	0.21	0.92	-0.22		-0.07	0.08		
1971-03-01	0.09	-0.18	0.00	0.13	-0.17		-0.18	0.09		
1971-04-01	0.18	0.66	0.05	0.13	0.21		0.23	0.03		
1971-05-01	0.09	0.67	0.27	0.39	0.29		0.15	0.14		
1971-06-01	0.20	0.36	0.46	0.56	-0.22		0.15	0.23		
1971-07-01	0.10	-0.12	0.22	0.30	0.02		-0.03	-0.22		
1971-08-01	0.19	-0.15	0.05	0.03	-0.07		-0.45	0.19		
1971-09-01	0.24	1.42	0.16	0.38	0.32		0.78	0.08		
1971-10-01	0.17	0.59	0.32	0.62	0.00		0.50	-0.09		
1971-11-01	0.20	0.81	0.51	0.94	0.25		0.15	0.22		
1971-12-01	0.19	1.25	0.57	0.88	0.34		0.47	0.25		
1972-01-01	0.16	2.15	0.74	1.40	0.57		1.16	0.25		
1972-02-01	0.19	0.68	0.75	1.36	0.34		0.39	-0.23		
1972-03-01	0.34	1.44	0.73	1.43	0.47		0.34	0.29		
1972-04-01	0.17	1.14	0.72	1.09	0.32		0.50	0.15		
1972-05-01	0.20	0.73	0.66	1.10	0.39		-0.02	0.16		
1972-06-01	0.19	0.82	0.59	0.90	0.44		0.12	0.08		
1972-07-01	0.21	-0.11	0.26	0.48	-0.23		0.05	-0.13		
1972-08-01	0.22	2.14	0.43	0.95	0.68		0.66	0.58		
1972-09-01	0.22	1.14	0.47	1.06	0.13		0.36	0.42		
1972-10-01	0.33	2.07	0.81	1.78	0.60		0.84	0.30		
1972-11-01	0.21	1.92	0.78	1.71	0.59		0.60	0.52		
1972-12-01	0.24	1.82	0.82	1.94	0.60		0.63	0.35		
1973-01-01	0.27	1.56	0.78	1.77	0.58		0.31	0.40		
1973-02-01	0.22	1.97	0.73	1.78	0.74		0.81	0.20		
1973-03-01	0.16	0.79	0.57	1.44	0.43		0.11	0.09		
1973-04-01	0.06	0.19	0.32	0.98	0.17		-0.10	0.07		
1973-05-01	0.14	0.71	0.24	0.56	0.20		0.29	0.07		
1973-06-01	0.12	0.46	0.21	0.45	0.33		-0.04	0.05		
1973-07-01	0.17	0.61	0.35	0.59	0.02		0.12	0.31		
1973-08-01	-0.01	-0.30	0.13	0.26	0.17		-0.21	-0.25		
1973-09-01	0.23	0.97	0.24	0.43	0.14		0.46	0.14		
1973-10-01	-0.01	1.50	0.36	0.72	0.49		0.35	0.66		
1973-11-01	0.06	1.17	0.66	1.21	0.32		0.28	0.50		
1973-12-01	-0.14	-0.45	0.45	0.74	-0.07		-0.21	-0.03		
1974-01-01	0.01	-0.39	0.13	0.11	-0.07		-0.49	0.15		
1974-02-01	-0.01	-0.31	-0.18	-0.38	0.02		-0.30	-0.03		
1974-03-01	0.04	0.08	-0.17	-0.21	-0.02		-0.08	0.13		
1974-04-01	0.07	-0.46	-0.22	-0.23	-0.16		-0.29	-0.07		
1974-05-01	0.01	0.68	-0.01	0.10	0.25		0.25	0.17		
1974-06-01	-0.02	-0.36	-0.10	-0.04	-0.18		-0.08	-0.07		
1974-07-01	0.01	-0.48	-0.13	-0.05	-0.18		-0.22	-0.08		
1974-08-01	0.02	-1.11	-0.46	-0.65	-0.30		-0.54	-0.30		
1974-09-01	-0.25	-1.12	-0.54	-0.90	-0.52		-0.18	-0.17		
1974-10-01	-0.17	-1.46	-0.61	-1.23	-0.46		-0.41	-0.42		
1974-11-01	-0.24	-3.70	-0.69	-2.10	-1.33		-1.79	-0.35		
1974-12-01	-0.18	-4.95	-0.77	-3.37	-1.75		-2.24	-0.78		
1975-01-01	0.01	-3.06	-0.83	-3.91	-1.47		-1.20	-0.40		
1975-02-01	-0.06	-3.27	-0.81	-3.76	-1.22		-1.52	-0.48		
1975-03-01	-0.23	-2.86	-0.84	-3.07	-0.91		-0.86	-0.86		
1975-04-01	-0.08	-0.65	-0.68	-2.26	-0.55		-0.03	0.01		
1975-05-01	0.16	-0.31	-0.52	-1.28	0.02		-0.14	-0.35		
1975-06-01	-0.11	-0.04	-0.24	-0.33	-0.15		0.20	0.02		
1975-07-01	-0.01	1.00	0.02	0.22	0.39		0.57	0.05		
1975-08-01	-0.03	1.05	0.29	0.67	0.68		0.34	0.07		
1975-09-01	-0.04	0.79	0.46	0.95	0.17		0.65	0.00		
1975-10-01	-0.03	0.51	0.41	0.78	0.37		0.16	0.01		
1975-11-01	0.02	0.22	0.34	0.50	0.23		0.08	-0.11		
1975-12-01	0.06	1.21	0.44	0.65	0.54		0.52	0.10		
1976-01-01	0.11	2.16	0.62	1.20	0.93		0.69	0.43		
1976-02-01	-0.02	1.29	0.77	1.56	0.62		0.51	0.19		
1976-03-01	0.04	0.57	0.67	1.34	0.36		0.01	0.16		
1976-04-01	0.07	0.62	0.54	0.83	0.22		0.26	0.07		
1976-05-01	-0.10	0.33	0.38	0.51	0.16		0.22	0.05		
1976-06-01	0.12	0.10	0.23	0.35	-0.14		-0.11	0.24		
1976-07-01	0.01	0.50	0.26	0.31	0.17		0.29	0.03		
1976-08-01	-0.01	0.43	0.32	0.34	0.14		0.22	0.07		
1976-09-01	0.05	0.50	0.43	0.48	0.28		0.06	0.11		
1976-10-01	0.06	-0.44	0.18	0.16	-0.19		-0.03	-0.28		
1976-11-01	0.09	1.39	0.26	0.48	0.42		0.62	0.26		
1976-12-01	0.21	1.43	0.47	0.79	0.31		0.46	0.44		
1977-01-01	-0.05	0.01	0.54	0.94	0.41		-0.28	-0.07		
1977-02-01	0.14	1.49	0.57	0.98	0.42		0.70	0.22		
1977-03-01	0.10	1.73	0.51	1.08	0.80		0.56	0.27		
1977-04-01	0.10	1.06	0.72	1.43	0.56		0.44	-0.04		
1977-05-01	0.08	1.12	0.69	1.31	0.54		0.40	0.10		
1977-06-01	0.08	1.09	0.69	1.09	0.45		0.37	0.19		
1977-07-01	0.17	0.65	0.60	0.96	0.43		0.03	0.02		
1977-08-01	0.08	0.46	0.51	0.73	0.28		0.01	0.08		
1977-09-01	0.11	0.84	0.41	0.65	0.60		0.07	0.07		
1977-10-01	0.19	0.64	0.46	0.65	0.30		0.10	0.05		
1977-11-01	0.14	0.83	0.45	0.77	0.57		0.00	0.11		
1977-12-01	0.11	1.27	0.55	0.91	0.53		0.32	0.30		
1978-01-01	-0.09	-1.37	0.34	0.24	0.08		-0.84	-0.52	83.7	
1978-02-01	0.20	1.36	0.46	0.42	0.45		0.29	0.42	84.3	
1978-03-01	0.21	1.95	0.50	0.65	0.70		0.87	0.17	78.8	
1978-04-01	0.21	2.60	0.85	1.97	0.98		0.79	0.62	81.6	
1978-05-01	0.11	0.59	0.70	1.71	0.43		0.03	0.02	82.9	
1978-06-01	0.16	1.32	0.69	1.50	0.71		0.36	0.11	80.0	
1978-07-01	0.03	-0.05	0.35	0.62	0.05		-0.05	-0.08	82.4	
1978-08-01	0.17	1.05	0.51	0.78	0.43		0.17	0.28	78.4	
1978-09-01	0.07	0.48	0.40	0.50	0.26		0.18	-0.03	80.4	
1978-10-01	0.12	1.16	0.68	0.90	0.51		0.32	0.21	79.3	
1978-11-01	0.14	1.16	0.66	0.93	0.57		0.33	0.11	75.0	
1978-12-01	0.16	0.82	0.68	1.05	0.25		0.31	0.11	66.1	
1979-01-01	-0.03	-0.40	0.41	0.53	0.17		-0.41	-0.14	72.1	
1979-02-01	0.05	0.37	0.31	0.26	0.25		0.15	-0.07	73.9	
1979-03-01	0.10	1.37	0.37	0.45	0.51		0.20	0.57	68.4	
1979-04-01	-0.03	-1.81	0.26	-0.02	-0.49		-0.81	-0.49	66.0	
1979-05-01	0.09	1.59	0.36	0.38	0.74		0.36	0.41	68.1	
1979-06-01	0.07	0.03	0.09	-0.06	0.27		-0.13	-0.17	65.8	
1979-07-01	0.01	-0.21	0.14	0.47	-0.09		-0.11	-0.01	60.4	
1979-08-01	0.21	-0.82	-0.22	-0.33	-0.26		-0.62	-0.15	64.5	
1979-09-01	0.08	0.02	-0.19	-0.34	0.15		0.01	-0.21	66.7	
1979-10-01	-0.02	0.02	-0.08	-0.26	0.08		0.04	-0.08	62.1	
1979-11-01	0.04	-0.45	-0.10	-0.14	-0.14		-0.20	-0.15	63.3	
1979-12-01	-0.04	-0.23	-0.19	-0.22	0.01		-0.03	-0.16	61.0	
1980-01-01	0.05	0.01	-0.17	-0.22	-0.13		-0.01	0.10	67.0	
1980-02-01	-0.16	-0.66	-0.19	-0.29	-0.13		-0.16	-0.20	66.9	
1980-03-01	-0.24	-1.46	-0.36	-0.70	-0.21		-0.50	-0.51	56.5	
1980-04-01	-0.28	-3.40	-0.70	-1.84	-1.26		-1.28	-0.57	52.7	
1980-05-01	-0.21	-3.54	-0.85	-2.80	-1.11		-1.64	-0.58	51.7	
